model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
fourier,partial_random,0.2,0.5,0.11077932,0.23082554,0.3949295,0.07754388,,,777
fourier,partial_random,0.2,0.25,0.037909828,0.12220986,0.22822647,0.057794914,,,777
fourier,partial_random,0.5,1.0,1.4477618,0.81288856,1.4330019,0.2583913,,,777
fourier,partial_random,0.5,0.5,0.52864295,0.49858686,0.8601183,0.18298389,,,777
fourier,partial_random,0.5,0.25,0.17708789,0.28540233,0.490569,0.13606292,,,777
fourier,partial_random,1.0,1.0,2.6218815,1.0657063,1.9036875,0.46520624,,,777
fourier,partial_random,1.0,0.5,1.1683074,0.71688014,1.2633246,0.3363797,,,777
fourier,partial_random,1.0,0.25,0.4431152,0.43882754,0.7627345,0.25899276,,,777
fourier,harmonic_spatial,0.0,1.0,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,harmonic_spatial,0.0,0.5,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,harmonic_spatial,0.0,0.25,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,harmonic_spatial,0.1,1.0,0.03371279,0.111972526,0.21518917,0.054283254,,,777
fourier,harmonic_spatial,0.2,1.0,0.15648457,0.26833972,0.46791947,0.09960203,,,777
fourier,harmonic_spatial,0.5,1.0,0.9539392,0.6568729,1.1573569,0.23761389,,,777
fourier,harmonic_spatial,1.0,1.0,2.0754988,0.93905884,1.6779283,0.47169003,,,777
fourier,bandlimited_lowpass,0.0,1.0,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,bandlimited_lowpass,0.0,0.5,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,bandlimited_lowpass,0.0,0.25,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,bandlimited_lowpass,0.1,1.0,0.5784549,0.4850742,0.85901153,0.328653,,,777
fourier,bandlimited_lowpass,0.2,1.0,1.9443538,0.8774165,1.5633347,0.6317125,,,777
fourier,bandlimited_lowpass,0.5,1.0,8.839611,1.8574824,3.3231268,1.3720367,,,777
fourier,bandlimited_lowpass,1.0,1.0,28.4851,3.3330038,5.9757595,2.4389038,,,777
fourier,bandlimited_highpass,0.0,1.0,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,bandlimited_highpass,0.0,0.5,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,bandlimited_highpass,0.0,0.25,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,bandlimited_highpass,0.1,1.0,0.064909756,0.17711613,0.30736038,0.02142259,,,777
fourier,bandlimited_highpass,0.2,1.0,0.3403507,0.41997245,0.70487994,0.03361593,,,777
fourier,bandlimited_highpass,0.5,1.0,1.3910087,0.8135486,1.4240934,0.08884688,,,777
fourier,bandlimited_highpass,1.0,1.0,2.3930936,1.048072,1.8629342,0.18055452,,,777
fourier,spatial_block_noise,0.0,1.0,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,spatial_block_noise,0.0,0.5,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,spatial_block_noise,0.0,0.25,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,spatial_block_noise,0.1,1.0,0.00450724,0.024657162,0.07521221,0.030330945,,,777
fourier,spatial_block_noise,0.2,1.0,0.0116049545,0.050240085,0.12304102,0.042464472,,,777
fourier,spatial_block_noise,0.5,1.0,0.05299082,0.13687558,0.26393124,0.087782085,,,777
fourier,spatial_block_noise,1.0,1.0,0.20984611,0.2939392,0.527664,0.16774678,,,777
fourier_layer_ortho,partial_random,0.0,1.0,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,partial_random,0.0,0.5,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,partial_random,0.0,0.25,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,partial_random,0.1,1.0,0.022162547,0.07969972,0.17765492,0.02760766,-2.262812376022339,0.019664280116558075,777
fourier_layer_ortho,partial_random,0.1,0.5,0.012554377,0.050949674,0.13204041,0.029315403,-2.548128604888916,0.021814977750182152,777
fourier_layer_ortho,partial_random,0.1,0.25,0.0075977463,0.035188116,0.10175421,0.026728919,-2.82159686088562,0.02006276324391365,777
fourier_layer_ortho,partial_random,0.2,1.0,0.05136411,0.14408189,0.27124652,0.03890314,-2.266724109649658,0.02632296085357666,777
fourier_layer_ortho,partial_random,0.2,0.5,0.026131023,0.08859866,0.19242603,0.03333789,-2.451172113418579,0.018856337293982506,777
fourier_layer_ortho,partial_random,0.2,0.25,0.015090181,0.05921088,0.14491238,0.031592544,-2.6945576667785645,0.016163606196641922,777
fourier_layer_ortho,partial_random,0.5,1.0,0.13508573,0.25994644,0.4384945,0.0739789,-2.2804667949676514,0.06999131292104721,777
fourier_layer_ortho,partial_random,0.5,0.5,0.06611661,0.16805214,0.3060583,0.054796785,-2.398409843444824,0.03555158153176308,777
fourier_layer_ortho,partial_random,0.5,0.25,0.03727617,0.11376388,0.22856957,0.046794526,-2.5333948135375977,0.02849097177386284,777
fourier_layer_ortho,partial_random,1.0,1.0,0.22056009,0.3382008,0.55574244,0.118673794,-2.208641290664673,0.11226655542850494,777
fourier_layer_ortho,partial_random,1.0,0.5,0.12590824,0.24549252,0.41951898,0.09048835,-2.298189640045166,0.09132952243089676,777
fourier_layer_ortho,partial_random,1.0,0.25,0.07522191,0.17893533,0.32338592,0.07336556,-2.294196605682373,0.06332752108573914,777
fourier_layer_ortho,harmonic_spatial,0.0,1.0,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,harmonic_spatial,0.0,0.5,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,harmonic_spatial,0.0,0.25,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,harmonic_spatial,0.1,1.0,0.023346942,0.08243334,0.17507097,0.05752867,-2.2052054405212402,0.11134302616119385,777
fourier_layer_ortho,harmonic_spatial,0.2,1.0,0.054487426,0.14491932,0.27093366,0.0778805,-1.960986852645874,0.13787232339382172,777
fourier_layer_ortho,harmonic_spatial,0.5,1.0,0.17740166,0.28801167,0.48837772,0.14385307,-1.7387797832489014,0.1374274045228958,777
fourier_layer_ortho,harmonic_spatial,1.0,1.0,0.38339505,0.4202662,0.7036267,0.2551976,-1.5817015171051025,0.14308668673038483,777
fourier_layer_ortho,bandlimited_lowpass,0.0,1.0,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,bandlimited_lowpass,0.0,0.5,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,bandlimited_lowpass,0.0,0.25,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,bandlimited_lowpass,0.1,1.0,0.26130328,0.34895056,0.5923745,0.17641869,-1.4101660251617432,0.0939689502120018,777
fourier_layer_ortho,bandlimited_lowpass,0.2,1.0,0.73401016,0.60609895,0.98858625,0.30984384,-1.218898057937622,0.08859217166900635,777
fourier_layer_ortho,bandlimited_lowpass,0.5,1.0,3.2506518,1.3063153,2.0724304,0.6772276,-1.1245536804199219,0.083343006670475,777
fourier_layer_ortho,bandlimited_lowpass,1.0,1.0,11.183219,2.4438825,3.8382146,1.2740178,-1.089262843132019,0.07519326359033585,777
fourier_layer_ortho,bandlimited_highpass,0.0,1.0,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,bandlimited_highpass,0.0,0.5,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,bandlimited_highpass,0.0,0.25,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,bandlimited_highpass,0.1,1.0,0.017402045,0.0671908,0.1583331,0.017183747,-2.2806499004364014,0.02025475725531578,777
fourier_layer_ortho,bandlimited_highpass,0.2,1.0,0.04550176,0.13323356,0.2569111,0.021684363,-2.312439203262329,0.02341596595942974,777
fourier_layer_ortho,bandlimited_highpass,0.5,1.0,0.112898596,0.23834872,0.4053372,0.028871901,-2.501816511154175,0.025779902935028076,777
fourier_layer_ortho,bandlimited_highpass,1.0,1.0,0.15519899,0.286378,0.47502393,0.037714235,-2.559577465057373,0.03858422860503197,777
fourier_layer_ortho,spatial_block_noise,0.0,1.0,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,spatial_block_noise,0.0,0.5,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,spatial_block_noise,0.0,0.25,9.719617e-05,0.0037421621,0.01076678,0.0049979324,-3.347468137741089,0.0003991106932517141,777
fourier_layer_ortho,spatial_block_noise,0.1,1.0,0.004109147,0.02198229,0.07159054,0.029275756,-3.119483709335327,0.05745849013328552,777
fourier_layer_ortho,spatial_block_noise,0.2,1.0,0.009760006,0.04181419,0.112862475,0.038680725,-3.0176656246185303,0.06731278449296951,777
fourier_layer_ortho,spatial_block_noise,0.5,1.0,0.035638575,0.10842098,0.22104849,0.05670285,-2.6845498085021973,0.1062280610203743,777
fourier_layer_ortho,spatial_block_noise,1.0,1.0,0.11347018,0.22865961,0.39946777,0.08072225,-1.9111402034759521,0.15355485677719116,777
